uuid,category,brand,title,age,classification,content,nutrient,info,gram,calory,ingredient,from_company,img,soup
0,고양이,뉴로 (NULO),뉴로 프리스타일 그레인프리 인도어 오리&렌틸콩,"키튼,어덜트,시니어,전연령",건사료,"오리, 닭고기, 칠면조, 대구, 완두콩, 렌틸콩, 닭고기지방, 콩섬유질, 천연향, 아마씨, 건조치커리뿌리, 건조켈프, 건조고구마, 건조크랜베리, 탄산칼슘, DL-메티오닌, 타우린 아연단백질, 염화콜린, 비타민E, L-아스코르빌 -2-폴리포스페이트(비타민C 공급원), 철단백질, 니아신, 구리단백질, 티아민모노니트레이트, 판토텐산칼슘, 비타민A, 망간단백질, 피리독신염산염, 소디움셀레나이트, 리보플라빈, 건조바실러스발효균, 유카시데게라추출물, 비타민B12. 요오드산칼슘, 엽산, 로즈마리추출물",조단백 40%  조지방 17%  칼슘 1.1%  인 0.9%  수분 10%,"그레인프리,글루텐프리,비유전자변형,유산균",5.4kg,"3,724 kcal/kg","오리, 닭고기, 칠면조",미국/Nulo Inc,https://cdn.purplesto.re/media/store/sale/main_image/nulo_cat_B137CF08_thumb02.png,"뉴로 (NULO) 뉴로 프리스타일 그레인프리 인도어 오리&렌틸콩 건사료 오리, 닭고기, 칠면조, 대구, 완두콩, 렌틸콩, 닭고기지방, 콩섬유질, 천연향, 아마씨, 건조치커리뿌리, 건조켈프, 건조고구마, 건조크랜베리, 탄산칼슘, DL-메티오닌, 타우린 아연단백질, 염화콜린, 비타민E, L-아스코르빌 -2-폴리포스페이트(비타민C 공급원), 철단백질, 니아신, 구리단백질, 티아민모노니트레이트, 판토텐산칼슘, 비타민A, 망간단백질, 피리독신염산염, 소디움셀레나이트, 리보플라빈, 건조바실러스발효균, 유카시데게라추출물, 비타민B12. 요오드산칼슘, 엽산, 로즈마리추출물 그레인프리,글루텐프리,비유전자변형,유산균"
1,고양이,게더 (GATHER),프리에이커 치킨 어덜트,"어덜트,시니어",건사료,"유기농 닭고기, 유기농 건조 닭고기, 유기농 완두콩, 렌틸콩, 닭지방, 유기농 아마씨, 천연닭고기향, 블루베리, 크랜베리, 계란껍질분말, 비타민합제(비타민 A, 비타민D3, 비타민E, 나이아신, L-아스코빌-2-폴리인산, 티아민 모노니트레이트, d-판토텐산칼슘, 리보플라빈, 염산피리독신, 엽산, 비오틴, 비타민B12), 미량광물질류합제(아연단백질화합분, 철단백질화합분, 구리단백질화합물, 망간단백질화합물, 요오드산칼슘, 아셀렌산나트륨), DL-메티오닌, 타우린, 건조 로즈마리",조단백 29%  조지방 15%  칼슘 1.4%  인 0.6%  수분 10%,"그레인프리,글루텐프리,비유전자변형",1.8kg,"3,664 kcal/kg","유기농 닭, 유기농 완두콩, 렌즈콩",캐나다/Petcurean Pet Nutrition Inc.,https://cdn.purplesto.re/media/store/sale/main_image/gather_cat_B009CF01_thumb01.png,"게더 (GATHER) 프리에이커 치킨 어덜트 건사료 유기농 닭고기, 유기농 건조 닭고기, 유기농 완두콩, 렌틸콩, 닭지방, 유기농 아마씨, 천연닭고기향, 블루베리, 크랜베리, 계란껍질분말, 비타민합제(비타민 A, 비타민D3, 비타민E, 나이아신, L-아스코빌-2-폴리인산, 티아민 모노니트레이트, d-판토텐산칼슘, 리보플라빈, 염산피리독신, 엽산, 비오틴, 비타민B12), 미량광물질류합제(아연단백질화합분, 철단백질화합분, 구리단백질화합물, 망간단백질화합물, 요오드산칼슘, 아셀렌산나트륨), DL-메티오닌, 타우린, 건조 로즈마리 그레인프리,글루텐프리,비유전자변형"
2,고양이,지위픽 (ZIWI),에어드라이 닭고기,"키튼,어덜트,시니어,전연령",저온건조 사료,"닭고기, 닭 내장(간, 심장) 및 뼈, 뉴질랜드 녹색홍합, 레시틴, 치커리 이눌린, 건 켈프, 미네랄(제2인산칼륨, 황산마그네슘, 아연아미노산, 구리아미노산, 철아미노산, 망간아미노산, 아셀렌산나트륨), 천일염, 파슬리, 구연산, 혼합토코페롤, 비타민(염화콜린, 비타민 B1, 비타민 B6 염산염, 엽산, 비타민 D3), DL-메티오닌, 타우린",조단백 44%  조지방 36%  칼슘 1.81%  인 1.38%  수분 8.0%,"그레인프리,글루텐프리",400g,"5,500 kcal/kg","닭고기, 닭 내장(간, 심장) 및 뼈, 뉴질랜드 녹색홍합",뉴질랜드/Ziwi Ltd,https://cdn.purplesto.re/media/store/sale/main_image/ziwipeak_cat_B046CF15_thumb01.png,"지위픽 (ZIWI) 에어드라이 닭고기 저온건조 사료 닭고기, 닭 내장(간, 심장) 및 뼈, 뉴질랜드 녹색홍합, 레시틴, 치커리 이눌린, 건 켈프, 미네랄(제2인산칼륨, 황산마그네슘, 아연아미노산, 구리아미노산, 철아미노산, 망간아미노산, 아셀렌산나트륨), 천일염, 파슬리, 구연산, 혼합토코페롤, 비타민(염화콜린, 비타민 B1, 비타민 B6 염산염, 엽산, 비타민 D3), DL-메티오닌, 타우린 그레인프리,글루텐프리"
3,고양이,캣츠파인푸드 (CATZ FINEFOOD),주식파우치 no.15 닭고기와 꿩고기,"어덜트,시니어",습식사료,"닭, 물, 꿩, 쌀, 유채과, 미네랄, 민들레, 달맞이꽃 오일",조단백 8.6%  조지방 4%  칼슘 0.2%  인 0.15%  수분 88%,"검류미함유,비유전자변형",85g,965 kcal/kg,"닭, 물, 꿩",독일/Landguth Heimtiernahrung GmbH,https://cdn.purplesto.re/media/store/sale/main_image/catzfinefood_cat_B053CF05_thumb01.png,"캣츠파인푸드 (CATZ FINEFOOD) 주식파우치 no.15 닭고기와 꿩고기 습식사료 닭, 물, 꿩, 쌀, 유채과, 미네랄, 민들레, 달맞이꽃 오일 검류미함유,비유전자변형"
4,고양이,어플라우즈 (APPLAWS),파우치 닭고기와 아스파라거스 ,"키튼,어덜트,시니어,전연령",습식간식,"닭고기(가슴살), 닭육수, 아스파라거스, 쌀",조단백 14.0% 조지방 2.0% 조섬유 0.5% 조회분 1.0% 수분 82.0%,검류미함유,70g,532 kcal/kg (37.24 kcal/파우치),"닭고기(가슴살), 닭육수, 아스파라거스",태국/MPM Products,https://cdn.purplesto.re/media/store/sale/main_image/deal_applaws_cat_B004CT1539ss_thumb01.png,"어플라우즈 (APPLAWS) 파우치 닭고기와 아스파라거스  습식간식 닭고기(가슴살), 닭육수, 아스파라거스, 쌀 검류미함유"
5,고양이,지위픽 (ZIWI),주식캔 양고기,"키튼,어덜트,시니어,전연령",습식사료,"양고기, 수분, 양 내장(폐, 신장, 간, 트라이프, 심장) 및 뼈, 병아리콩, 뉴질랜드 녹색홍합, DL-메티오닌, 건 켈프, 미네랄(황산마그네슘, 아연아미노산, 망간아미노산, 구리아미노산), 비타민(비타민 E, 비타민 B1, 비타민 B6 염산염, 엽산, 비타민 D3), 타우린",조단백 11%  조지방 8%  칼슘 0.5%  인 0.38%  수분 74.5%,"검류미함유,그레인프리,글루텐프리","85g, 185g","1,325 kcal/kg","양고기, 수분, 양 내장(폐, 신장, 간, 트라이프, 심장) 및 뼈",뉴질랜드/Ziwi Ltd,https://cdn.purplesto.re/media/store/sale/main_image/ziwipeak_cat_B046CF19_thumb01.png,"지위픽 (ZIWI) 주식캔 양고기 습식사료 양고기, 수분, 양 내장(폐, 신장, 간, 트라이프, 심장) 및 뼈, 병아리콩, 뉴질랜드 녹색홍합, DL-메티오닌, 건 켈프, 미네랄(황산마그네슘, 아연아미노산, 망간아미노산, 구리아미노산), 비타민(비타민 E, 비타민 B1, 비타민 B6 염산염, 엽산, 비타민 D3), 타우린 검류미함유,그레인프리,글루텐프리"
6,고양이,캣츠파인푸드 (CATZ FINEFOOD),주식캔 퓨레 no.109 돼지고기,"어덜트,시니어",습식사료,"돼지고기, 육수, 미네랄(아연, 망간, 요오드), 포도씨오일",조단백 8.3%  조지방 3.9%  칼슘 0.2%  인 0.15%  수분 88%,"검류미함유,그레인프리,글루텐프리,비유전자변형",400g,973 kcal/kg,"돼지고기, 육수, 미네랄(아연, 망간, 요오드)",독일/Landguth Heimtiernahrung GmbH,https://cdn.purplesto.re/media/store/sale/main_image/catzfinefood_cat_B053CF21_thumb01.png,"캣츠파인푸드 (CATZ FINEFOOD) 주식캔 퓨레 no.109 돼지고기 습식사료 돼지고기, 육수, 미네랄(아연, 망간, 요오드), 포도씨오일 검류미함유,그레인프리,글루텐프리,비유전자변형"
7,고양이,알모네이쳐 (ALMO NATURE),HFC 내츄럴 캔 닭고기와 호박,"키튼,어덜트,시니어,전연령",습식간식,"닭고기살(70%), 정제수(24%), 호박(5%), 쌀(1%)",조단백 13.0%  조지방 0.3%  조섬유 0.5%  조회분 1.0%  수분 81.0% ,"단일육류단백질,글루텐프리,비유전자변형",70g,785 kcal/kg (55 kcal/캔),"닭고기살, 정제수, 호박",태국/HI-Q FOOD PRODUCTS CO.LTD,https://cdn.purplesto.re/media/store/sale/main_image/almonature_cat_B131CT08_thumb01.png,"알모네이쳐 (ALMO NATURE) HFC 내츄럴 캔 닭고기와 호박 습식간식 닭고기살(70%), 정제수(24%), 호박(5%), 쌀(1%) 단일육류단백질,글루텐프리,비유전자변형"
8,고양이,어플라우즈 (APPLAWS), 통살 참치와 가다랑어 육수,"키튼,어덜트,시니어,전연령",습식간식,"가다랑어(참치), 가다랑어육수, 파슬리",조단백 23.0% 조지방 5.0% 조회분 3.0% 수분 73.0%,검류미함유,-,"1,310 kcal/kg (39.3 kcal/파우치)","가다랑어(참치), 가다랑어 육수, 파슬리",태국/MPM Products,https://cdn.purplesto.re/media/store/sale/main_image/applaws_cat_B004CT11_thumb01.png,"어플라우즈 (APPLAWS)  통살 참치와 가다랑어 육수 습식간식 가다랑어(참치), 가다랑어육수, 파슬리 검류미함유"
9,고양이,어딕션 (ADDICTION),LID 사슴고기,"키튼,어덜트,시니어,전연령",건사료,"건조 사슴, 완두콩, 감자, 타피오카, 닭 지방(혼합 토코페롤로 처리), 아마씨, 천연향, 염화나트륨, 건조 켈프, 건조 크린베리, 건조 사과, 건조 시금치, 건조 맥주 효모, 건조 장구균, 건조 락토바실러스 아시도필루스, 건조 비피도박테리움 롱검, 건조 유산균, 비타민E, 니아신(비타민B3), 판토텐산칼슘(비타민B5), 비타민A, 비타민B1 질산염, 리보플라빈, 염산피리독신(비타민B6), 비오틴(비타민B7), 비타민B12, 비타민D3, 폴산(비타민 B9), 타우린, 염화콜린, 황산마그네슘, 황산아연, 황산제일철(철분제), 탄산칼슘, 황산구리, 황산망간, 요오드산칼슘, 황산코발트, 아셀렌산나트륨, 녹차 추출물, 로즈마리 추출물",조단백 30.0%  조지방 15.0%  칼슘 1.2%  인 1.0%  수분 10.0%,"단일육류단백질,그레인프리",9kg,"3,710 kcal/kg","건조 사슴, 완두콩, 감자",뉴질랜드/Addiction Food Nz Limited,https://cdn.purplesto.re/media/store/sale/main_image/addiction_cat_B029CF01_thumb01.png,"어딕션 (ADDICTION) LID 사슴고기 건사료 건조 사슴, 완두콩, 감자, 타피오카, 닭 지방(혼합 토코페롤로 처리), 아마씨, 천연향, 염화나트륨, 건조 켈프, 건조 크린베리, 건조 사과, 건조 시금치, 건조 맥주 효모, 건조 장구균, 건조 락토바실러스 아시도필루스, 건조 비피도박테리움 롱검, 건조 유산균, 비타민E, 니아신(비타민B3), 판토텐산칼슘(비타민B5), 비타민A, 비타민B1 질산염, 리보플라빈, 염산피리독신(비타민B6), 비오틴(비타민B7), 비타민B12, 비타민D3, 폴산(비타민 B9), 타우린, 염화콜린, 황산마그네슘, 황산아연, 황산제일철(철분제), 탄산칼슘, 황산구리, 황산망간, 요오드산칼슘, 황산코발트, 아셀렌산나트륨, 녹차 추출물, 로즈마리 추출물 단일육류단백질,그레인프리"
10,고양이,고! (GO!),그레인프리 LID 오리,"어덜트,시니어",건사료,"오리, 완두콩, 타피오카, 렌즈콩, 병아리콩, 타우린, 비타민합제(비타민A, D3, E, C 등), 미량광물질류합제(아연, 철, 구리 등)",조단백 31.0%  조지방 15.0%  칼슘 1.0%  인 0.8%  수분 10.0%,"단일육류단백질,그레인프리,글루텐프리",7.2kg,"4,222 kcal/kg","오리, 완두콩, 타피오카",캐나다/Petcurean Pet Nutrition Inc.,https://cdn.purplesto.re/media/store/sale/main_image/go_cat_B010CF03_thumb01.png,"고! (GO!) 그레인프리 LID 오리 건사료 오리, 완두콩, 타피오카, 렌즈콩, 병아리콩, 타우린, 비타민합제(비타민A, D3, E, C 등), 미량광물질류합제(아연, 철, 구리 등) 단일육류단백질,그레인프리,글루텐프리"
