index,age,brand,calory,category,classification,content,detail,from_company,gram,img,info,ingredient,nutrient,title,성분등록번호
0,"어덜트,시니어",보레알 (BOREAL),"1,050 kcal/kg",고양이,습식 사료,"치킨, 치킨 육수, 치킨 간, 완두콩, 강낭콩, 계란, 레시틴, 탄산칼슘, 아마씨, 콜린클로라이드, 생선오일, 일인산나트륨, 식물성오일, 소금, DL-메티오닌, 유카시데게라추출물, 완두콩섬유질, 블루베리, 블랙베리, 사과, 석류, 크랜베리, 타우린, L-아스코르빌-2-폴리포스페이트(비타민C의 공급원), 아연아미노산복합체, 비타민E, 황산제일철, 철아미노산복합체, 황산아연, 니아신, 티아민모노나이트레이트, 구리프로테인산염, 비타민A, 센렌산나트륨, 황산망간, 망간아미노산복합체, D-칼슘판토테네이트, 피리독신염산염, 리보플라빈, 비오틴, 비타민D3, 비타민B12, 요오드산칼슘, 엽산.","연령구분 어덜트,시니어 푸드타입 습식 사료 중량 80g, 156g 주재료 치킨, 치킨육수, 치킨간 식단정보 검류미함유,그레인프리,글루텐프리 칼로리 1,050 kcal/kg 원산지/제조사 캐나다/Boreal Pet Foods.",캐나다/Boreal Pet Foods.,"80g, 156g",https://cdn.purplesto.re/media/store/sale/main_image/boreal_cat_B050CF07_thumb01.png,"검류미함유,그레인프리,글루텐프리","치킨, 치킨육수, 치킨간",조단백 7.2%  조지방 6.3%  칼슘 0.2%  인 0.18%  수분 85%,주식캔 치킨&치킨간,제 CCBZZ0008호
1,"어덜트,시니어",고! (GO!),"4,222 kcal/kg",고양이,건사료,"오리, 완두콩, 타피오카, 렌즈콩, 병아리콩, 타우린, 비타민합제(비타민A, D3, E, C 등), 미량광물질류합제(아연, 철, 구리 등)","연령구분 어덜트,시니어 푸드타입 건사료 중량 7.2kg 주재료 오리, 완두콩, 타피오카 식단정보 단일육류단백질,그레인프리,글루텐프리 칼로리 4,222 kcal/kg 원산지/제조사 캐나다/Petcurean Pet Nutrition Inc.",캐나다/Petcurean Pet Nutrition Inc.,7.2kg,https://cdn.purplesto.re/media/store/sale/main_image/go_cat_B010CF03_thumb01.png,"단일육류단백질,그레인프리,글루텐프리","오리, 완두콩, 타피오카",조단백 31.0%  조지방 15.0%  칼슘 1.0%  인 0.8%  수분 10.0%,그레인프리 LID 오리,제 서울-19594호
2,"키튼,어덜트,시니어,전연령",보레알 (BOREAL),"1,050 kcal/kg",고양이,습식 사료,"칠면조, 칠면조육수, 송어, 연어오일, 계란, 완두콩, 렌틸콩, 인산이칼슘, 호로파씨앗, 탄산칼슘, 소금, 아마씨, 레시틴, 염화콜린, 염화칼륨, 유카시데게라, 완두콩섬유질, 타우린, L-아스코르빌-2-폴리포스페이트(비타민C의 공급원), 아연아미노산복합체, 비타민E, 황산제일철, 철아미노산복합체, 황산아연, 니아신, 티아민모노나이트레이트, 구리프로테인산염, 비타민A, 셀렌산나트륨, 황산망간, 망간아미노산복합체, D-칼슘판토테네이트, 피리독신염산염, 리보플라빈, 비오틴, 비타민D3, 비타민B12, 요오드산칼슘, 엽산.","연령구분 키튼,어덜트,시니어,전연령 푸드타입 습식 사료 중량 80g 주재료 칠면조, 칠면조육수, 송어 식단정보 검류미함유,그레인프리,글루텐프리 칼로리 1,050 kcal/kg 원산지/제조사 캐나다/Boreal Pet Foods.",캐나다/Boreal Pet Foods.,80g,https://cdn.purplesto.re/media/store/sale/main_image/deal_boreal_cat_B050CF1302SS_thumb01.png,"검류미함유,그레인프리,글루텐프리","칠면조, 칠면조육수, 송어",조단백 8%  조지방 7.5%  칼슘 0.44%  인 0.41%  수분 78%,주식캔 칠면조&송어,제 서울-19209호
3,"어덜트,시니어",고! (GO!),"4,232 kcal/kg ",고양이,건사료,"볼락, 통건조계란, 완두콩, 타피오카, 렌틸콩, 병아리콩, 카놀라오일, 코코넛오일, 천연착향료, 염화콜린, 염화칼륨, 인산, 건조치커리뿌리, 염화나트륨, 비타민합제(비타민A, 비타민D3, 비타민E, 나이아신, 이노시톨, L-아스크로빌-2-폴리포스페이트(비타민C의 공급), 질산티아민, d-판토텐산 칼륨, 리보플라빈, 염산피리독신, 베타카로틴, 엽산, 비오틴, 비타민B12), 미량광물질류합제(아연, 철, 구리, 마그네슘, 황산구리, 요오드산칼슘, 황산제일철, 산화망간, 셀레늄효모), 건조락토바실러스아시도필러스발효제품, 건조엔테로코커스 패시엄 발효제품, 타우린, DL-메티오닌, L-리진, 건조로즈마리","연령구분 어덜트,시니어 푸드타입 건사료 중량 3.6kg 주재료 볼락, 통건조계란, 완두콩 식단정보 단일육류단백질,그레인프리,글루텐프리 칼로리 4,232 kcal/kg  원산지/제조사 캐나다/Petcurean Pet Nutrition Inc.",캐나다/Petcurean Pet Nutrition Inc.,3.6kg,https://cdn.purplesto.re/media/store/sale/main_image/go_cat_B010CF04_thumb01.png,"단일육류단백질,그레인프리,글루텐프리","볼락, 통건조계란, 완두콩",조단백 30.0%  조지방 15.0%  칼슘 1.0%  인 0.8%  수분 10.0%,그레인프리 LID 폴록,제 서울-19594호
4,"키튼,어덜트,시니어,전연령",알모네이쳐 (ALMO NATURE),972 kcal/kg (53 kcal/파우치),고양이,습식간식,"가다랑어살(91%), 정제수(7.5%), 쌀(1.5%)","연령구분 키튼,어덜트,시니어,전연령 푸드타입 습식간식 중량 55g 주재료 가다랑어살, 정제수, 쌀 식단정보 단일육류단백질,글루텐프리,비유전자변형 칼로리 972 kcal/kg (53 kcal/파우치) 원산지/제조사 태국/Songkla Canning Public Co.Ltd",태국/Songkla Canning Public Co.Ltd,55g,https://cdn.purplesto.re/media/store/sale/main_image/deal_almonature_cat_B131CT0602SS_thumb01.png,"단일육류단백질,글루텐프리,비유전자변형","가다랑어살, 정제수, 쌀",조단백 22.1%  조지방 2.2%  조섬유 0.012%  조회분 2.9%  수분 80.6% ,HFC 내츄럴플러스 파우치 가다랑어,서울-24148호
5,"키튼,어덜트,시니어,전연령",어플라우즈 (APPLAWS),100 kcal/kg (4 kcal/소분팩),고양이,토퍼(부스터),"정제수, 닭가슴살, 카라기닌  ","연령구분 키튼,어덜트,시니어,전연령 푸드타입 토퍼(부스터) 중량 120g 주재료 정제수, 닭가슴살, 카라기닌   식단정보 그레인프리,글루텐프리 칼로리 100 kcal/kg (4 kcal/소분팩) 원산지/제조사 태국/MPM Products",태국/MPM Products,120g,https://cdn.purplesto.re/media/store/sale/main_image/deal_applaws_cat_B004CT1236ss_thumb01.png,"그레인프리,글루텐프리","정제수, 닭가슴살, 카라기닌  ",조단백 6.5% 조지방 0.1% 조섬유 0.5% 조회분 1.0% 수분 94.0%,토퍼 닭고기스프에 닭가슴살,제 서울-17913호
6,"어덜트,시니어",앱솔루트 홀리스틱 (ABSOLUTE HOLISTIC),"4,353 kcal/kg",고양이,저온건조 사료,"소고기, 소 간, 소 폐, 사슴고기, 식물성 글리세린, 파슬리, 건조 치커리, 초록입홍합, 염화콜린, 탄산칼슘, 켈프, 아마씨, 천연항산화제(천연혼합토코페롤, 로즈마리 추출물), 타우린, 황산제일철, 산화아연, 비타민E, 나이아신, 황산구리, 비타민B1, 아셀렌산나트륨, 황산망간, D-판토텐산칼슘, 비타민A 분말(레티놀분말), 비타민B2(리보플라빈), 비오틴, 비타민B6염산염(피리독신 염산염), 비타민B12(시아노토발라민), 요오드산 칼슘, 엽산, 비타민D3(콜레칼시페롤)","연령구분 어덜트,시니어 푸드타입 저온건조 사료 중량 50g 주재료 소고기, 소 간, 소 폐 식단정보 그레인프리,글루텐프리 칼로리 4,353 kcal/kg 원산지/제조사 뉴질랜드/Absolute Pets International Pte, Ltd.","뉴질랜드/Absolute Pets International Pte, Ltd.",50g,https://cdn.purplesto.re/media/store/sale/main_image/deal_absoluteholistic_cat_B103CF0503SS_thumb01.png,"그레인프리,글루텐프리","소고기, 소 간, 소 폐",조단백 30%  조지방 25%  칼슘 1%  인 0.5%  수분 19%,에어드라이 소고기&사슴고기,제 II6TM0009호
7,"어덜트,시니어",닥터링크 (DR.LINK),760 kcal/kg (152kcal/캔),고양이,습식사료,"칠면조(심장, 간, 위), 육수(가금류), 당근, 미네랄(아연, 망간, 일수화물), 이눌린, 탄산칼슘, 타피오카 4%(최대)  * 1kg당 영양보충제 함량: 비타민 D3 200IU, 비타민 E(모두 rac-알파-토코페릴 아세테이트) 20mg, 비타민 B1 10mg, 비타민 B2 6mg, 비타민 B6 2mg, 비타민 B12 75μg, 엽산 0.35mg, 비오틴 300μg, 염화콜린 1,200mg, 아연(황산아연, 일수화물) 25mg, 망간(망간-(II)-황산염, 일수화물) 1.4mg, 요오드(요오드산 칼슘, 무수) 0.75mg, 타우린 1,500mg","연령구분 어덜트,시니어 푸드타입 습식사료 중량 200g 주재료 칠면조, 육수(가금류), 당근 식단정보 단일육류단백질,그레인프리,글루텐프리 칼로리 760 kcal/kg (152kcal/캔) 원산지/제조사 독일/Landguth Heimtiernahrung GmbH",독일/Landguth Heimtiernahrung GmbH,200g,https://cdn.purplesto.re/media/store/sale/main_image/deal_drlink_cat_B107CF0102SS_thumb01.png,"단일육류단백질,그레인프리,글루텐프리","칠면조, 육수(가금류), 당근",조단백 10.3%  조지방 2.9%  칼슘 0.25%  인 0.15%  수분 81%,주식캔 no.2 스페셜 다이어트 칠면조,
8,"어덜트,시니어",노스웨스트 (NORTHWEST NATURALS),"3,807 kcal/kg",고양이,동결건조 사료,"치킨, 치킨간, 계란, 켈프, 연어오일, 타우린","연령구분 어덜트,시니어 푸드타입 동결건조 사료 중량 311g 주재료 치킨, 치킨간, 계란 식단정보 그레인프리,글루텐프리,비유전자변형 칼로리 3,807 kcal/kg 원산지/제조사 미국/North West Naturals",미국/North West Naturals,311g,https://cdn.purplesto.re/media/store/sale/main_image/northwest_cat_B014CF08_thumb01.png,"그레인프리,글루텐프리,비유전자변형","치킨, 치킨간, 계란",조단백 45.0%  조지방 15.0%  칼슘 1.7%  인 1.3%  수분 5.0%,내추럴 동결건조 닭고기,제 GGHA50228호
9,"키튼,어덜트,시니어,전연령",어플라우즈 (APPLAWS),724 kcal/kg (50.6 kcal/캔),고양이,습식간식,"참치순살, 참치육수","연령구분 키튼,어덜트,시니어,전연령 푸드타입 습식간식 중량 70g 주재료 참치순살, 참치육수 식단정보 검류미함유,그레인프리,글루텐프리 칼로리 724 kcal/kg (50.6 kcal/캔) 원산지/제조사 태국/MPM Products",태국/MPM Products,70g,https://cdn.purplesto.re/media/store/sale/main_image/applaws_cat_B004CT45_thumb01.png,"검류미함유,그레인프리,글루텐프리","참치순살, 참치육수",조단백 18.0% 조지방 5.0%,습식캔 그레인프리 참치,제 서울 25132호
