index,category,brand,title,age,classification,content,nutrient,info,gram,calory,ingredient,detail,from_company,성분등록번호,img
0,고양이,뉴로 (NULO),뉴로 프리스타일 그레인프리 인도어 오리&렌틸콩,"키튼,어덜트,시니어,전연령",건사료,"오리, 닭고기, 칠면조, 대구, 완두콩, 렌틸콩, 닭고기지방, 콩섬유질, 천연향, 아마씨, 건조치커리뿌리, 건조켈프, 건조고구마, 건조크랜베리, 탄산칼슘, DL-메티오닌, 타우린 아연단백질, 염화콜린, 비타민E, L-아스코르빌 -2-폴리포스페이트(비타민C 공급원), 철단백질, 니아신, 구리단백질, 티아민모노니트레이트, 판토텐산칼슘, 비타민A, 망간단백질, 피리독신염산염, 소디움셀레나이트, 리보플라빈, 건조바실러스발효균, 유카시데게라추출물, 비타민B12. 요오드산칼슘, 엽산, 로즈마리추출물",조단백 40%  조지방 17%  칼슘 1.1%  인 0.9%  수분 10%,"그레인프리,글루텐프리,비유전자변형,유산균",5.4kg,"3,724 kcal/kg","오리, 닭고기, 칠면조","연령구분 키튼,어덜트,시니어,전연령 푸드타입 건사료 중량 5.4kg 주재료 오리, 닭고기, 칠면조 식단정보 그레인프리,글루텐프리,비유전자변형,유산균 칼로리 3,724 kcal/kg 원산지/제조사 미국/Nulo Inc",미국/Nulo Inc,서울-23093호,https://cdn.purplesto.re/media/store/sale/main_image/nulo_cat_B137CF08_thumb02.png
1,고양이,게더 (GATHER),프리에이커 치킨 어덜트,"어덜트,시니어",건사료,"유기농 닭고기, 유기농 건조 닭고기, 유기농 완두콩, 렌틸콩, 닭지방, 유기농 아마씨, 천연닭고기향, 블루베리, 크랜베리, 계란껍질분말, 비타민합제(비타민 A, 비타민D3, 비타민E, 나이아신, L-아스코빌-2-폴리인산, 티아민 모노니트레이트, d-판토텐산칼슘, 리보플라빈, 염산피리독신, 엽산, 비오틴, 비타민B12), 미량광물질류합제(아연단백질화합분, 철단백질화합분, 구리단백질화합물, 망간단백질화합물, 요오드산칼슘, 아셀렌산나트륨), DL-메티오닌, 타우린, 건조 로즈마리",조단백 29%  조지방 15%  칼슘 1.4%  인 0.6%  수분 10%,"그레인프리,글루텐프리,비유전자변형",1.8kg,"3,664 kcal/kg","유기농 닭, 유기농 완두콩, 렌즈콩","연령구분 어덜트,시니어 푸드타입 건사료 중량 1.8kg 주재료 유기농 닭, 유기농 완두콩, 렌즈콩 식단정보 그레인프리,글루텐프리,비유전자변형 칼로리 3,664 kcal/kg 원산지/제조사 캐나다/Petcurean Pet Nutrition Inc.",캐나다/Petcurean Pet Nutrition Inc.,제 서울-19594호,https://cdn.purplesto.re/media/store/sale/main_image/gather_cat_B009CF01_thumb01.png
2,개,윔지스 (WHIMZEES),밸류백 칫솔 L,"퍼피,어덜트,시니어,전연령",껌,"감자전분, 글리세린, 셀룰로오스 분말, 레시틴, 효모, 맥아 추출물, 루핀, 파프리카, 알팔파 추출물",조단백 1.1% 조지방 2.0% 조섬유 13.7% 조회분 2.4% 수분 12.0%,"그레인프리,글루텐프리,비유전자변형,채식",360g (6개입),"3,500 kcal/kg (210 kcal/개)","감자전분, 글리세린, 셀룰로오스 분말","연령구분 퍼피,어덜트,시니어,전연령 푸드타입 껌 중량 360g (6개입) 주재료 감자전분, 글리세린, 셀룰로오스 분말 식단정보 그레인프리,글루텐프리,비유전자변형,채식 칼로리 3,500 kcal/kg (210 kcal/개) 원산지/제조사 네덜란드/Paragon Pet Products",네덜란드/Paragon Pet Products,제 서울-18050호,https://cdn.purplesto.re/media/store/sale/main_image/whimzees_dog_B070DT02_thumb01.png
3,개,아딜론덱 (ADIRONDACK),그레인프리 LID 흰살생선,"퍼피,어덜트,시니어,전연령",건사료,"흰살생선, 청어, 렌틸콩, 파바콩, 캐놀라오일, 타피오카, 비트펄프, 아마씨, 천연향료, 알팔파, 청어기름, 인산칼슘, 식염, 코코넛오일, DL-메티오닌, 염화칼륨, 제1인산염, L-라이신, 프락토올리고당(FOS), 코코넛향, 탄산칼슘, 왕겨, 비타민E, 아스크로빈산, 야채오일. 로즈마리, 다시마, 미네랄오일, D-칼슘판토텐산, 리보플라빈, 비타민제합제(비타민B12, 비타민D3). 혼합광물질류합제(탄산칼슘, 셀레늄)",조단백 26%  조지방 15%  칼슘 1.2%  인 1%  수분 10%,"단일육류단백질,그레인프리,글루텐프리","5.4kg, 1.8kg, 11.3kg","3,571 kcal/kg  ","흰살생선, 청어, 렌틸콩","연령구분 퍼피,어덜트,시니어,전연령 푸드타입 건사료 중량 5.4kg, 1.8kg, 11.3kg 주재료 흰살생선, 청어, 렌틸콩 식단정보 단일육류단백질,그레인프리,글루텐프리 칼로리 3,571 kcal/kg   원산지/제조사 미국/Blackwood Pet Foods, Inc","미국/Blackwood Pet Foods, Inc",,https://cdn.purplesto.re/media/store/sale/main_image/adirondack_dog_B027DF05_thumb01.png
4,개,테라카니스 (TERRA CANIS),주식캔 하이포알러젠 캥거루와 파스닙,"어덜트,시니어",습식사료,"라벨 표기 원재료: 캥거루 고기, 파스닙, 아마인유, 해초 업체 제공 원재료: 캥거루고기, 파스닙, 아마인유, 유채씨유, 해초. 비타민A (E672): 3000 IE, 비타민D (E 671): 375 IE 비타민E (dl-a-토코페릴아세테이트) : 28 mg, 비타민B1 질산염: 2.5 mg 비타민B2(리보플라빈): 5 mg, 비타민B12(시아노코발라민): 31 1g 비오틴(D Biotin): 4.4 1g, 판토텐산 (판토텐산칼슘): 14 mg | 엽산 (3a316): 0.08 mg, 구리 (E4): 3.75 mg, 망간 (E5): 2.5 mg 요오드 (E2): 0.75 mg, 아연 (E6): 37.5 mg 셀렌산나트륨: 0.075 mg 칼슘 (E341): 2380 mg, 인 (E341): 250 mg. 탄산마그네슘 150 mg 염화나트륨 200 mg, 나트륨: 130 mg  * 업체 제공 원재료가 수정된 최신 정보이며 한글 라벨과 다를 수 있으니 참고해주세요.",조단백 8.5%  조지방 1.7%  칼슘 0.18%  인 0.11%  수분 86%,"단일육류단백질,검류미함유,그레인프리",400g,930 kcal/kg,"캥거루 고기, 파스닙, 아마인유","연령구분 어덜트,시니어 푸드타입 습식사료 중량 400g 주재료 캥거루 고기, 파스닙, 아마인유 식단정보 단일육류단백질,검류미함유,그레인프리 칼로리 930 kcal/kg 원산지/제조사 독일/Terra Canis",독일/Terra Canis,제 II6TM0009호,https://cdn.purplesto.re/media/store/sale/main_image/deal_terracanis_dog_B110DF0802SS_thumb01.png
5,고양이,지위픽 (ZIWI),에어드라이 닭고기,"키튼,어덜트,시니어,전연령",저온건조 사료,"닭고기, 닭 내장(간, 심장) 및 뼈, 뉴질랜드 녹색홍합, 레시틴, 치커리 이눌린, 건 켈프, 미네랄(제2인산칼륨, 황산마그네슘, 아연아미노산, 구리아미노산, 철아미노산, 망간아미노산, 아셀렌산나트륨), 천일염, 파슬리, 구연산, 혼합토코페롤, 비타민(염화콜린, 비타민 B1, 비타민 B6 염산염, 엽산, 비타민 D3), DL-메티오닌, 타우린",조단백 44%  조지방 36%  칼슘 1.81%  인 1.38%  수분 8.0%,"그레인프리,글루텐프리",400g,"5,500 kcal/kg","닭고기, 닭 내장(간, 심장) 및 뼈, 뉴질랜드 녹색홍합","연령구분 키튼,어덜트,시니어,전연령 푸드타입 저온건조 사료 중량 400g 주재료 닭고기, 닭 내장(간, 심장) 및 뼈, 뉴질랜드 녹색홍합 식단정보 그레인프리,글루텐프리 칼로리 5,500 kcal/kg 원산지/제조사 뉴질랜드/Ziwi Ltd",뉴질랜드/Ziwi Ltd,제 서울-15608호,https://cdn.purplesto.re/media/store/sale/main_image/ziwipeak_cat_B046CF15_thumb01.png
6,개,그랜마루시 (GRANDMA LUCY'S),마카나 연어,"어덜트,시니어",동결건조 사료,"연어, 햄프, 강낭콩, 당근, 코코넛, 호박, 케일, 블루베리, 강황, 비타민A, 비타민 D3, 비타민 E, 나이아신, 철, 탄산칼슘, 인, 아연, 리보플라빈, 염화칼륨, 염화 마그네슘, 망간, 구리, 피리독신, 염산염, 시아노코발라민",조단백 29.0%  조지방 14.0%  칼슘 1.2%  인 1.0%  수분 8.1%,"단일육류단백질,그레인프리,글루텐프리,비유전자변형","3.6kg, 1.3kg","4,208 kcal/kg","연어, 햄프, 강낭콩","연령구분 어덜트,시니어 푸드타입 동결건조 사료 중량 3.6kg, 1.3kg 주재료 연어, 햄프, 강낭콩 식단정보 단일육류단백질,그레인프리,글루텐프리,비유전자변형 칼로리 4,208 kcal/kg 원산지/제조사 미국/Grandma Lucy's",미국/Grandma Lucy's,제 서울-22065호,https://cdn.purplesto.re/media/store/sale/main_image/grandmalucys_dog_B011DF02_thumb01.png
7,고양이,캣츠파인푸드 (CATZ FINEFOOD),주식파우치 no.15 닭고기와 꿩고기,"어덜트,시니어",습식사료,"닭, 물, 꿩, 쌀, 유채과, 미네랄, 민들레, 달맞이꽃 오일",조단백 8.6%  조지방 4%  칼슘 0.2%  인 0.15%  수분 88%,"검류미함유,비유전자변형",85g,965 kcal/kg,"닭, 물, 꿩","연령구분 어덜트,시니어 푸드타입 습식사료 중량 85g 주재료 닭, 물, 꿩 식단정보 검류미함유,비유전자변형 칼로리 965 kcal/kg 원산지/제조사 독일/Landguth Heimtiernahrung GmbH",독일/Landguth Heimtiernahrung GmbH,GGHA50028호,https://cdn.purplesto.re/media/store/sale/main_image/catzfinefood_cat_B053CF05_thumb01.png
8,고양이,어플라우즈 (APPLAWS),파우치 닭고기와 아스파라거스,"키튼,어덜트,시니어,전연령",습식간식,"닭고기(가슴살), 닭육수, 아스파라거스, 쌀",조단백 14.0% 조지방 2.0% 조섬유 0.5% 조회분 1.0% 수분 82.0%,검류미함유,70g,532 kcal/kg (37.24 kcal/파우치),"닭고기(가슴살), 닭육수, 아스파라거스","연령구분 키튼,어덜트,시니어,전연령 푸드타입 습식간식 중량 70g 주재료 닭고기(가슴살), 닭육수, 아스파라거스 식단정보 검류미함유 칼로리 532 kcal/kg (37.24 kcal/파우치) 원산지/제조사 태국/MPM Products",태국/MPM Products,제 서울-20530호,https://cdn.purplesto.re/media/store/sale/main_image/deal_applaws_cat_B004CT1539ss_thumb01.png
9,개,골드로니 (GOLDRONY),ALL 예스무스 관절건강,"퍼피,키튼,어덜트,시니어,전연령",습식 간식,"정제수, 산양유(유기농), 마누카(뉴질랜드), 황태, 타피오카, 글루코사민, 초록잎홍합",조단백 1.8%  조지방 1.5%  조섬유 1.0%  조회분 2.0%  수분 91% ,"그레인프리,글루텐프리",60g,"1,200 kcal/kg (18 kcal/스틱)","정제수, 산양유, 마누카","연령구분 퍼피,키튼,어덜트,시니어,전연령 푸드타입 습식 간식 중량 60g 주재료 정제수, 산양유, 마누카 식단정보 그레인프리,글루텐프리 칼로리 1,200 kcal/kg (18 kcal/스틱) 원산지/제조사 대한민국/(주)펫원",대한민국/(주)펫원,제 55VZN0038호,https://cdn.purplesto.re/media/store/sale/main_image/goldrony_all_B062AT02_thumb01.png
